,0,1,2,3,4,5,6,7,8,9
2,0.7481220474738424,0.24999999999999956,0.28940959067317557,0.33623924426584156,0.40261728318390216,0.49999999999999956,0.4433961537446368,0.12801791590471884,0.594053247127591,0.5960134369285387
3,0.45408201789015634,0.3411948716595154,0.4899080789533045,0.25,0.048961409511989656,0.24999999999999956,0.25000000000000044,1.7743776515309557e-31,0.8965129068809902,0.3362392442658414
4,2.3598026451342715e-30,3.023943208515932e-31,0.1933961537446365,0.25,0.14252536213720668,0.24999999999999956,0.36702645670160744,4.305622149838161e-31,0.28505072427441336,0.33623924426584145
5,5.928200367680755e-31,5.535358955211343e-32,2.0272996414744358e-31,3.6179274731170906e-31,2.110649760187364e-31,0.24999999999999956,7.068374210227689e-31,7.684687240854781e-31,1.7449562456790887e-31,3.7205448799155183e-32
6,2.173877999004667e-31,7.023852919544402e-32,2.550582529126153e-31,3.2420018109430646e-31,5.205295375727423e-31,0.24999999999999956,1.0553580810662951e-31,1.1093825713190776e-31,4.134677146571028e-31,2.078320629033311e-31
7,1.6087327106747722e-31,2.7532098714929704e-31,4.749182443098328e-31,2.757686073292093e-31,1.7818025395532914e-31,1.0290188526439122e-31,5.608293243691069e-31,2.405326084893755e-31,2.848279631798211e-31,2.5643446123814116e-31
8,3.0062785910016625e-31,7.042414562192021e-31,3.33746918412293e-31,6.866056350799852e-31,3.6806031859860843e-31,2.9569667421110547e-31,2.130688053893768e-31,5.554656643648546e-31,3.6725163613616065e-31,8.422732646347246e-31
9,2.062069778350016e-31,8.662888795286264e-32,2.4410334939862265e-31,3.12061360509042e-31,3.825500183824873e-31,1.9747122117206066e-31,1.4958398378502546e-30,1.0755104395075976e-30,1.5138552196647423e-31,1.5705195598360302e-31
10,2.5340508427282505e-31,1.695021465471354e-31,3.260901617692786e-31,5.920039666495346e-31,1.3944000115567441e-31,4.706978686727269e-32,2.7364525886245525e-31,1.3460319050466749e-31,1.6362083755691423e-31,2.236239312761078e-31
15,1.1966307768542157e-30,5.452306500437313e-31,2.416888140567484e-31,3.5799522475044335e-31,1.158305955737845e-31,2.6591402449316813e-31,3.263827623617826e-31,1.1057538162124107e-31,3.9263210363063968e-31,2.556260925180575e-31
20,1.0666122023968514e-31,3.922091782450399e-30,1.4918319329294396e-31,8.528000526791038e-31,2.2197576512491827e-29,1.0772767991505954e-31,3.5249000935648597e-31,6.063140929267118e-31,3.86391352157632e-31,4.753935237144879e-31
25,1.0369815306578325e-30,5.815791100087342e-30,1.108667608009438e-31,1.7631617668065088e-31,2.1933852890978575e-31,3.2306756390011205e-31,4.0474103977810755e-31,1.935878673846966e-31,2.390740267341741e-31,2.9925775377049237e-31
30,1.7664177980524002e-31,4.314537219466111e-31,2.3061264751424014e-30,3.4913913936122617e-31,2.3859391476660557e-31,3.2785236584870044e-31,1.8252673637915538e-31,9.905698948738483e-31,3.800810721941364e-31,1.9306294608942254e-31
35,1.096935231295632e-31,4.899960970057198e-31,8.720991352571024e-32,1.8386868789989534e-31,6.929002240594046e-31,2.128139955242643e-31,3.2093181682240777e-31,1.8306734766956199e-31,2.8690197594638716e-31,1.342582989787208e-31
40,1.0002869911039575e-31,1.9251871142196447e-31,2.748715408625106e-31,1.6012319989963702e-31,4.085620537736008e-31,2.122812838705591e-31,3.559363037355464e-31,2.6557246588703583e-31,3.2938400999451943e-31,2.768310368300685e-30
45,2.811927464953353e-31,1.1101376317074914e-30,3.970311619160517e-31,4.145040226776187e-31,2.193963121439177e-31,5.642181811273552e-31,3.9165232630220636e-31,3.17108495958584e-31,2.8573061270526232e-31,1.0944993359402717e-31
50,4.121690663478838e-31,3.3077198638953246e-31,3.5938817404846016e-31,5.280400914877835e-31,2.1700390351654844e-31,2.3544767660354023e-31,7.29799161461413e-30,9.85209770612757e-32,7.854441135025578e-32,1.2201410723718055e-31
55,1.8826762948995998e-31,5.453723580903701e-32,4.508256157460232e-31,1.7241399376633776e-31,1.7891509759403606e-31,1.7172334161280846e-31,2.5558864037349585e-30,1.2279962196462913e-31,2.418926325052897e-31,1.6632525254777221e-31
60,3.068789532152858e-31,8.503198220371729e-32,3.5728466873548366e-31,5.2007250166060405e-31,1.7627191619417962e-31,2.052340748334935e-31,1.1021270637165786e-31,1.9083706850223862e-29,3.8799499764746596e-31,3.93375294380561e-31
