,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.048283958435058595,0.026398288855926325,0.0008711814880371094,2.114760700952458e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.52549889135255,0.5759423503325943,0.5363636363636365,0.4889534883720931,0.5069767441860465,0.5269982388097817,0.029462823507330625,143,0.5949882201756265,0.5757121439280359,0.5339506172839507,0.5863492063492063,0.541058201058201,0.566411677759004,0.024483225774879807
1,0.03819208145141602,0.006774495040484073,0.0010207653045654296,0.0001809179876143897,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.5407427937915744,0.43375831485587596,0.5431818181818182,0.5549418604651164,0.4613372093023256,0.5066929279833422,0.049437468715209563,249,0.5512243878060968,0.5263439708717069,0.560344827586207,0.5014285714285713,0.5566137566137566,0.5391911028612677,0.022301957136734205
2,0.05445423126220703,0.016152868041144925,0.0009103775024414063,2.9417413359045374e-06,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.4417960088691797,0.5532150776053216,0.5909090909090909,0.5220930232558141,0.6587209302325582,0.5529044383957885,0.07202551217552103,58,0.5046048404369243,0.633647461983294,0.6136653895274586,0.6306878306878305,0.6002821869488536,0.5965775419168722,0.04754447922117621
3,0.05678367614746094,0.023340921439035843,0.0008966445922851563,1.375772300876726e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5726164079822618,0.5418514412416853,0.5886363636363635,0.5918604651162792,0.5,0.5590467627003362,0.034263699885042,41,0.6537624045120297,0.603983722424502,0.6880587484035761,0.5305467372134038,0.5,0.5952703225107023,0.07123554705287949
4,0.04776077270507813,0.014789471115457526,0.0009515762329101562,9.558907026264188e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5895232815964526,0.568458980044346,0.4852272727272728,0.4575581395348838,0.5622093023255815,0.5329244781499463,0.0514862569425075,107,0.5206325408724208,0.5046940815306632,0.5417198808003407,0.6084126984126983,0.6307936507936507,0.5612505704819547,0.049579057960983594
5,0.03365325927734375,0.0023821280945857557,0.0009966373443603515,0.00013172883467088046,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.5457317073170733,0.5285476718403548,0.5340909090909091,0.5159883720930234,0.5686046511627908,0.538568106005358,0.017713307366870795,88,0.5696794459912901,0.5497429856500321,0.5346956151553853,0.5225396825396825,0.5249382716049382,0.5403192001882656,0.017522218390187617
6,0.049713516235351564,0.018847976846021842,0.0009167671203613281,2.2130587360138497e-06,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.5424057649667408,0.44983370288248353,0.5625,0.4380813953488374,0.563953488372093,0.5113315478952888,0.05560599554870211,239,0.6065717141429284,0.5001963304062255,0.589080459770115,0.5029982363315696,0.6601763668430334,0.5718046214987744,0.061933571973636775
7,0.04725737571716308,0.00983703634063548,0.0009235858917236329,1.1870659696040008e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.4969512195121953,0.4384700665188471,0.5113636363636365,0.3404069767441862,0.5738372093023256,0.472256243354868,0.0783258708445179,361,0.5661098022417362,0.5776040551152994,0.5881226053639848,0.5897883597883598,0.6414285714285713,0.5926106787875903,0.025841014458553295
8,0.06193976402282715,0.02510867348598238,0.0009610652923583984,4.172801944190823e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.5415742793791576,0.5133037694013304,0.5204545454545455,0.552325581395349,0.5255813953488373,0.530593083414978,0.01427436838823583,120,0.5958627828942671,0.6361462126079818,0.5301191996594297,0.6702469135802468,0.6456613756613756,0.6156072968806601,0.04900743417636685
9,0.03732705116271973,0.008718395134833593,0.0009240150451660156,3.22151409937326e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.49805986696230614,0.5401884700665189,0.6034090909090909,0.5837209302325583,0.5566860465116279,0.5561696460799553,0.03648903820308604,47,0.563807382023274,0.5845648604269293,0.5935504469987231,0.6073721340388006,0.6019047619047618,0.5902399170784978,0.015306379379804762
10,0.05751781463623047,0.0048911587607994465,0.0009176254272460938,6.0266633318364394e-06,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.5604212860310422,0.5410199556541021,0.6329545454545455,0.6337209302325584,0.5639534883720931,0.5861849145371552,0.0391007597719216,3,0.6535303776683087,0.6528342971371458,0.6834823329076204,0.6553791887125219,0.6534391534391534,0.65973306997295,0.011905155318352643
11,0.042855358123779295,0.010395628802129443,0.000982809066772461,8.303875074872363e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.5620842572062087,0.4589800443458981,0.5818181818181818,0.45581395348837217,0.5744186046511628,0.5266011791196137,0.056851513824603336,145,0.6417148568572857,0.5850289141143714,0.4970200085142614,0.6106878306878306,0.4932275132275132,0.5655358246802524,0.060240913166489475
12,0.07103524208068848,0.029494437347666994,0.0009667873382568359,5.010989108706317e-05,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.5742793791574281,0.608370288248337,0.4749999999999999,0.4799418604651164,0.4959302325581395,0.5271966796438577,0.054419938210304684,142,0.6219211822660098,0.6912615121010923,0.4871221796509153,0.5830335097001762,0.6647619047619047,0.6096200576960197,0.07151201675353307
13,0.07711105346679688,0.03588904991914297,0.001018381118774414,0.00011013623361410703,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.5443458980044348,0.5351995565410199,0.5829545454545455,0.49593023255813967,0.5825581395348838,0.5482001912815867,0.03243444029009602,67,0.6288284429213964,0.6700756764474904,0.7395700297999149,0.5487477954144621,0.6620282186948853,0.6498500326556298,0.062081611415452605
14,0.04637775421142578,0.010404679963414118,0.0009640216827392578,7.186991140130878e-05,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.48059866962305997,0.5482261640798227,0.5647727272727272,0.5363372093023258,0.4569767441860465,0.5174668526075928,0.041323197850980355,206,0.48670307703291205,0.6303990861712001,0.5739676458067264,0.6090828924162257,0.5927160493827159,0.578573750161956,0.049554242238837094
15,0.03302884101867676,0.0005236032435338669,0.0009326457977294922,6.971287498678879e-06,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.5163525498891355,0.4725609756097561,0.5329545454545455,0.5569767441860466,0.42558139534883727,0.5009003739690071,0.04646353865668954,271,0.5160455486542442,0.5401941886199757,0.5173478075776927,0.5113403880070546,0.5408289241622574,0.525151371404245,0.012701392750506696
16,0.0624814510345459,0.025358999362473607,0.000935506820678711,2.5473995951067125e-06,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.5426829268292686,0.5393569844789358,0.4681818181818182,0.6078488372093025,0.5415697674418605,0.5397676413678967,0.0440826039612181,85,0.5708931248661383,0.6403226957949596,0.5242656449553001,0.6502292768959436,0.7071604938271604,0.6185742472679003,0.06401587443313173
17,0.06169486045837402,0.010602330418515132,0.0009799480438232421,5.4826611206686655e-05,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.6449556541019957,0.5485033259423504,0.4704545454545454,0.6345930232558141,0.5174418604651163,0.5632883106447345,0.06736314845075611,33,0.6886199757264226,0.6216534589847933,0.6770966368667519,0.6247442680776014,0.6421164021164021,0.6508461483543944,0.02729717903909853
